"","CrudeID","Name","Title1","Title2","Country","State","Region","SulfurType","Owner","ShareOwned","SampleID","AssayYear","AssayDate","AssayQuality","Reference","Production","C2_Vol","C3_Vol","IC4_Vol","NC4_Vol","IC5_Vol","NC5_Vol","CP_Vol","C2_Wt","C3_Wt","IC4_Wt","NC4_Wt","IC5_Wt","NC5_Wt","CP_Wt","Fahr_or_Cel","LE_or_GC","YieldCurveUnits","Cal2Ver","Comments","CRUFileSource","ProjectName","RunDate","SmoothDataConf","AssayLibrary","PTI_CIMSGradeID","CrudeType","ChemicalClass","Laboratory","LabSourceRef","LoadPort","LPCode","UserDefRegion","intCrudeID","AssayFile","CRUPath","ReferenceCode","EquityOwnership","TradedCrudeName","YearAddedToLibrary","SulfurCategory","SteelCorrosivity"
"1","AGBAM483","Agbami (ITS) Feb 16 '14",NA,NA,"Nigeria",NA,"Africa","Low",NA,NA,NA,2014,"6/27/2014",NA,"ITS Singapore",NA,0.059304,1.40028,1.639553,2.63852,2.539587,2.101356,0.180219,0.026853,0.903218,1.172955,1.959029,2.015602,1.685143,0.171839,"C","Y","W","HCSM 5.93","Agbami crude oil is a light gravity, low sulfur crude (48.3 degrees
API, 0.04 wt percent sulfur) crude that it produced from the
Agbami-Ekoli field, Nigeria's largest deepwater development. The field
is located in the central part of the Niger Delta area, about 70 miles
offshore and covers OML 127 and 128. Recoverable reserves from OML 127
and 128 are 670 million boe and 396 million boe, respectively, of which
395 million boe and 236 million boe, respectively, remain (2014).
Agbami started up on July 29, 2008. Production from OML 127 and OML 128
averages 150,000 b/d and 90,000 b/d, respectively (2014). Output is
tied back to the Agbami FPSO which has a production capacity of 250,000
b/d of oil and can store up to 2.15 million boe. Chevron operates both
fields and holds 32 percent in OML 127 and 46.15 percent in OML 128.
OML 127 partners include Famfa Oil (60 percent) and Petrobras (8
percent) and Statoil holds the remaining 53.85 percent interest in OML
128
*** The GC Analysis Covers  31.2 LV%  of crude up to a TBP of   134.2  deg. C.
","CVX","CUT SET 1","11/06/18",NA,"CVX","AGBAMI","Extra Light","Paraffinic","ITS Singapore",NA,"Agbami FPSO",NA,"Nigeria","AGBAM483","AGBAM483.cru","C:\USERS\00053867\DESKTOP\DATA ANALYTICS-CRUDE\CHEVRON -BASE\AGBAM483.CRU","AGBAM483",TRUE,"Agbami",2014,"Sweet",NA
"2","AKPO462","Akpo Exp Bld (Total) '09",NA,NA,"Nigeria",NA,"Africa","Low",NA,NA,NA,2009,"6/30/2009",NA,"WEB",NA,0.08848,0.718718,0.845599,1.523209,2.129895,2.522145,0.236603,0.039602,0.458244,0.597972,1.117894,1.67094,1.999255,0.222999,"C","Y","W","HCSM 5.93","Akpo project is in Nigerian OML 130. There are 5 discoveries of complex
resevoirs. These include the fields Akpo, Egina, Preowei, Egina and
Kuro. The Akpo FSPO  is located as the hub of the 5 akpo structures
which are some distance from the other fields. While Total is operator,
NNPC is the majority owner. Total began developing the Akpo Field on
the Oil Mining License (OML) 130 in May 2005. Discovered in 2000, the
Akpo gas and condensate field is 200 km offshore Port Harcourt in 1,100
- 1,700 m of water. These data are from the Total (operator) web site
dated Jun 30, 2009. Sulphur below detection limit Hydrogen Sulphide
below detection limit.
*** The GC Analysis Covers  33.0 LV%  of crude up to a TBP of   140.1  deg. C.
","CVX","CUT SET 1","11/06/18",NA,"CVX","AKPO","Extra Light","Paraffinic","Total",NA,NA,NA,NA,"AKPO462","AKPO462.cru","C:\USERS\00053867\DESKTOP\DATA ANALYTICS-CRUDE\CHEVRON -BASE\AKPO462.CRU","AKPO462",FALSE,"Akpo",2010,"Sweet",NA
"3","ALSHN298","Al Shaheen Exp Bld (ITS)Oct  '11",NA,NA,"Qatar",NA,"Middle East","High",NA,NA,NA,2011,"11/30/2011",NA,"ITS-Singapore",NA,0.0184,0.4774,0.5323,1.4954,1.6135,1.193,0.1151,0.007501,0.277233,0.342844,0.999591,1.152909,0.861315,0.098805,"C","Y","W","HCSM 5.93","Al Shaheen is a light gravity (30.5 degrees API), sour crude (2.2 wt
percent). It is produced from an oil and gas field that lies in
production sharing contract area Block 5 located 125 miles northeast of
Doha, offshore Qatar. Block 5 has 2.234 billion boe and 1.531 bcf gas
initial recoverable reserves. At the end of 2010, the remaining
reserves were estimated at 1.188 billion boe and 958 bcf gas.
Development of Al Shaheen took place in three phases. Phase 1 started
up in 1995 with an initial production rate of 100,000 b/d. Phase 2,
which started up in 2004, increased field capacity to 240,000 b/d.
Phase 3, which is an extension of the Al Shaheen field, came on stream
in 2006. Phase 3 was to increase capacity to 540,000 b/d, however due
to OPEC quotas, production will be capped to 300,000 b/d. Al Shaheen
currently produces 298,000 b/d (2010). Maersk owns and operates the
field.
*** The GC Analysis Covers  15.1 LV%  of crude up to a TBP of   128.7  deg. C.
","CVX","CUT SET 1","11/06/18",NA,"CVX","ALSHAHEEN","Medium","Intermediate","ITS",NA,NA,NA,"Qatar","ALSHN298","ALSHN298.cru","C:\USERS\00053867\DESKTOP\DATA ANALYTICS-CRUDE\CHEVRON -BASE\ALSHN298.CRU","ALSHN298",FALSE,"Al Shaheen - Africa FSO",2014,"Sour",NA
"4","ANTAN287","Antan (Saybolt) '11",NA,NA,"Nigeria",NA,"Africa","Low",NA,NA,NA,2011,"1/30/2012",NA,"SAYBOLT ROTTERDAM",NA,0.026843,0.251487,0.169452,0.575262,0.531368,0.544773,0.087362,0.010833,0.144581,0.108049,0.380683,0.375884,0.389377,0.074244,"C","Y","W","HCSM 5.93","Antan blend is produced from several offshore fields (Adanga, Oron
West, North Oron, Ebughu and extensions, Adanga North Horst, Inagha,
Akam, Bogi and Mimbo) in OML 123 and the Abana fields in OML 114
located in Nigeria's Niger Delta. OML 123 started production in 1975
and OML114 started up in 1999. OML123 and OML114 have initial reserves
of 400 million boe and 76 million boe and remaining reserves of 135
million boe and 9 million boe, respectively. In 2011, OML 123
production averaged 48,000 b/d and OML 114 production averaged 6,000
b/d. Production from both areas are piped to the FPSO Knock Adoon
located over the nearby Antan field. The Knock Adoon has a production
capacity of 60,000 b/d and storage capacity of 1.7 million boe crude.
Sinopec owns and operates the OML123 fields and Moni Pulo owns and
operates OML114. Antan crude is a medium gravity, low sulfur crude oil
(28.7 deg API and 0.27 wt percent sulfur). The crude is predicted to
produce a high nitrogen content (10,600 ppm) vacuum residuum.
*** The GC Analysis Covers  10.9 LV%  of crude up to a TBP of   133.6  deg. C.
","CVX","CUT SET 1","11/06/18",NA,"CVX","ANTAN","Medium","Intermediate","Saybolt-Rotterdam",NA,NA,NA,"Nigeria","ANTAN287","ANTAN287.cru","C:\USERS\00053867\DESKTOP\DATA ANALYTICS-CRUDE\CHEVRON -BASE\ANTAN287.CRU","ANTAN287",FALSE,"Antan",2012,"Sweet",NA
"5","ARBLRSH332","Arab Lt Exp Bld  HI RSH (CVX)'11",NA,NA,"Saudi Arabia",NA,"Middle East","High",NA,NA,NA,2011,"6/8/2011",NA,"CVX",NA,0.0045,0.3812,0.2627,1.4599,1.0305,1.9569,0.0933,0.001867,0.225267,0.17218,0.993049,0.749302,1.437715,0.081502,"C","Y","W","HCSM 5.93","Arab Light, also known as Arabian Light, is a light (33.2 degrees API)
and sour (1.9 weight percent sulfur) crude oil that is mainly sourced
from the Ghawar field, the largest complex of oil fields in the world.
Ghawar started up in 1951 and had initial recoverable reserves
estimated at 130 billion boe. By year end 2010, remaining reserves were
about 57.9 billion boe. Ghawar is located onshore Saudi Arabia and
includes the Ain Dar, Shedgum, Uthmaniyah and Haradh fields. Other
contributing fields are Hadriyah, Al Fadhli, Fazran,Ghawar, Khurais,
and Qatif. Output of the Arab Light blend in 2008 and 2009 was 4.9
million b/d. In 2008, the Khursaniyah project, comprising the
Khursaniyah, Al Fadhili and Abu Haydriyah fields, increased the
stream's production capacity by 500,000 b/d. In 2009, the Khurais
project added another 1.2 million boe capacity to stream. Arab Light is
exported out of the Juaymah, King Fahd, and Ras Tanura loadports. Saudi
Aramco is the sole owner and operator of the stream.
*** The GC Analysis Covers  19.0 LV%  of crude up to a TBP of   137.3  deg. C.
","CVX","CUT SET 1","11/06/18",NA,"CVX","ARABLT","Light","Intermediate","CVX",NA,NA,NA,"Saudi Arabia","ARBLRSH332","ARBLRSH332.cru","C:\USERS\00053867\DESKTOP\DATA ANALYTICS-CRUDE\CHEVRON -BASE\ARBLRSH332.CRU","ARBLRSH332",FALSE,"Arab Light",2013,"Sour",NA
"6","ASGRD537","Aasgard (Statoil) Jan '16",NA,NA,"Norway","North Sea","Europe","Low",NA,NA,NA,2016,"6/10/2016",NA,"Statoil Website",NA,0.071997,0.624618,1.423808,4.921962,3.682151,4.918244,0.385641,0.033579,0.41499,1.049188,3.764131,3.010159,4.0625,0.378748,"C","Y","W","HCSM 5.93","Asgard blend is a light (53.7 degrees API), low sulfur (0.09 wt
percent) condensate produced from several fields in the Norwegian Sea,
including Asgard, Haltenbank South, Asgard Condensate, and Yttergryta
Condensate) which are blended in the Asgard-A platform of the Asgard
FPSO then stored in the Asgard-C platform. Midgard, Smorbukk, and
Smorbukk South fields all contribute to the Asgard crude while the
Haltenbank South crude is comprised of the Kristin, Trestall, and
Tyrihans field. Asgard Condensate includes production from the Mikkel
and Morvin fields, and Yttergryta is a gas field. The Asgard
development is the largest development on the Norwegian continental
shelf. Asgard initial recoverable reserves were 650 million barrels of
oil, 466 million barrels of LPG, 108 million barrels of condensate and
7.413 tcf gas. Remaining reserves are 80 million barrels of oil, 126
million barrels of LPG, and 2.727 tcf gas (2016). Production averaged
108,000 b/d of liquids (46,000 b/d of oil and 62,000 b/d) of NGL in
2016. Each field has different owners, however Statoil operates all the
fields and has a 34.57 percent average weighted holding. Other partners
are Norway State DFI (35.69 percent), Eni (14.82 percent), Total (7.68
percent) and Exxon (7.24 percent).
*** The GC Analysis Covers  52.3 LV%  of crude up to a TBP of   134.9  deg. C.
","CVX","CUT SET 1","11/06/18",NA,"CVX","ASGARD","Extra Light","Paraffinic","Statoil",NA,NA,NA,"North Sea - Norway","ASGRD537","ASGRD537.cru","C:\USERS\00053867\DESKTOP\DATA ANALYTICS-CRUDE\CHEVRON -BASE\ASGRD537.CRU","ASGRD537",FALSE,"Asgard Cond",2016,"Sweet",NA
"7","AASGR419","Aasgard A(Statol) '01",NA,NA,"Norway","North Sea","Europe","Low",NA,NA,NA,2001,"2001","Poor",NA,NA,0.104147,0.672734,0.48792,1.626304,1.386706,1.976366,1.157647,0.045486,0.418546,0.336688,1.164674,1.06157,1.528717,1.064681,"C","Y","W","HCSM 5.93","AASGARD A FIELD SAMPLE.
Assay from Statoil website. Sampled at Mongstad Terminal on March 2001..
Sample is  0.18 wt% Sulfur, <0.01 mg KOH/g  Acid, 53.1 KPA/8 PSI,
260 ppm N, 15F Pour, <0.1ppm Ni, 0.1 ppm V, SWEET, 5.0 WT% WAX
1050F+PENETRATION AT 77f IS SOFT.
*** The GC Analysis Covers  30.1 LV%  of crude up to a TBP of   148.9  deg. C.
","CVX","CUT SET 1","11/06/18","Excellent","CVX","ASGARD","Extra Light","Intermediate",NA,NA,NA,NA,NA,"AASGR419","AASGR419.cru","C:\USERS\00053867\DESKTOP\DATA ANALYTICS-CRUDE\CHEVRON -BASE\AASGR419.CRU","AASGR419-R",FALSE,"Asgard",2002,"Sweet",NA
"8","AGBMI478","Agbami Exp Bld (CVX) '10",NA,NA,"Nigeria",NA,"Africa","Low",NA,NA,NA,2010,"11/4/2010",NA,"CVX",NA,0.0435,0.94303,1.33062,2.393408,2.566827,2.103902,0.16168,0.019645,0.606676,0.949431,1.772355,2.031851,1.682737,0.153756,"C","Y","W","HCSM 5.93","Agbami crude oil is a light gravity, low sulfur crude (47-48 degrees
API, 0.04 wt percent sulfur) crude that it produced from the
Agbami-Ekoli field, Nigeria's largest deepwater development. The field
is located in the central part of the Niger Delta area, about 70 miles
offshore and covers OML 127 and 128. Agbami has 585 million boe
recoverable reserves, of which 412 million boe remain (2012).
Production began on July 29, 2008, four months ahead of schedule. In
2010, production averaged 220,000 b/d. Output from the field is tied
back to the Agbami FPSO, one the largest to ever be constructed, which
has a production capacity of 250,000 b/d of oil and can store up to
2.15 million boe. Chevron operates the field and holds 67.3 percent
equity. Statoil holds 20.21 percent and Petrobras holds 12.49 percent.
*** The GC Analysis Covers  31.6 LV%  of crude up to a TBP of   136.3  deg. C.
","CVX","CUT SET 1","11/06/18",NA,"CVX","AGBAMI","Extra Light","Paraffinic","CVX",NA,NA,NA,"Nigeria","AGBMI478","AGBMI478.cru","C:\USERS\00053867\DESKTOP\DATA ANALYTICS-CRUDE\CHEVRON -BASE\AGBMI478.CRU","AGBMI478-T",TRUE,"Agbami",2012,"Sweet",NA
"9","AGBAM479","Agbami Exp Bld (ITS) '12",NA,NA,"Nigeria",NA,"Africa","Low",NA,NA,NA,2012,"3/21/2012",NA,"ITS-Singapore",NA,0.0445,1.162,1.5381,2.4853,2.3536,1.9288,0.174,0.020108,0.747962,1.098085,1.841429,1.864104,1.543548,0.165564,"C","Y","W","HCSM 5.93","The Agbami crude oil is a light gravity, low sulfur crude (47.9 degrees
API, 0.04 wt percent sulfur) crude that it produced from the
Agbami-Ekoli field, Nigeria's largest deepwater development. The field
is located in the central part of the Niger Delta area, about 70 miles
offshore and covers OML 127 and 128. Agbami has 585 million boe
recoverable reserves of which, 412 million boe remain (2012).
Production began on July 29, 2008, four months ahead of schedule. In
2010, production averaged 220,000 b/d. Output from the field is tied
back to the Agbami FPSO, one the largest to ever be constructed, which
has a production capacity of 250,000 b/d of oil and can store up to
2.15 million boe. Chevron operates the field and holds 68.15 percent
equity. Statoil holds 18.85 percent and Petrobras holds 8 percent.
*** The GC Analysis Covers  29.8 LV%  of crude up to a TBP of   132.3  deg. C.
","CVX","CUT SET 1","11/06/18",NA,"CVX","AGBAMI","Extra Light","Paraffinic","ITS",NA,NA,NA,"Nigeria","AGBAM479","AGBAM479.cru","C:\USERS\00053867\DESKTOP\DATA ANALYTICS-CRUDE\CHEVRON -BASE\AGBAM479.CRU","AGBAM479",TRUE,"Agbami",2014,"Sweet",NA
"10","AGBAM457","Agbami Fld 6-17D (CVX) '07",NA,NA,"Nigeria",NA,"Africa","Low",NA,NA,NA,2007,"4/17/2008","A","CVX",NA,0.018954,0.32049,0.537359,1.090394,1.548164,1.423196,0.148939,0.00846,0.203765,0.378928,0.797997,1.211144,1.124965,0.139981,"C","Y","W","HCSM 5.93","Agbami 6-17D crude oil, Nigeria, Sampled 12/23/07
Agbami is Nigeria's largest deepwater
development, a light, sweet crude oil produced 70 miles offshore.
Loading will be accomplished via a single buoy mooring (SBM) located
1.2 miles from the Agbami floating production, storage and offloading
(FPSO) vessel. With an overall storage capacity of 2.15 million
barrels the Agbami FPSO is one of the largest facilities of this type
ever constructed. Production will begin in 2008 and quickly ramp up to
230,000 barrels per day, with peak production of 250,000 barrels per
day expected in 2010.
whole crude sample has brown color, musty
odor, and is liquid with chunks at room temp.
Agbami 6, 17D
interval.  Samples were obtained on the Sedco Energy on December 23rd
from the test separator oil bucket. Production Rate of 250,000.
no
mercaptans in crude were found after crude was washed.  990 ppm
methanol was observed in this sample: we do not epect lined out
commercial production.
VIS212 value calculated
WAX CVX value calculated
CETANE TOLERANCE >92
SOLVENT REQUIREMENT <0.02, value calculated
FLASH POINT <5
SILVER below detection limit
CADMIUM below detection limit
CAESIUM below detection limit
PHOSPHORUS below detection limit
PALLADIUM below detection limit
PLATINUM below detection limit
RHENIUM below detection limit
RUTHENIUM below detection limit
SILICON below detection limit
TUNGSTEN below detection limit
*** The GC Analysis Covers  29.5 LV%  of crude up to a TBP of   138.6  deg. C.
","CVX","CUT SET 1","11/06/18","Excellent","CVX","AGBAMI","Extra Light","Paraffinic",NA,NA,NA,NA,NA,"AGBAM457","AGBAM457.cru","C:\USERS\00053867\DESKTOP\DATA ANALYTICS-CRUDE\CHEVRON -BASE\AGBAM457.CRU","AGBAM457-A",TRUE,"Agbami",2008,"Sour",NA
