"","DataSetID","CrudeID"
"1",6,"ASGRD537"
"2",7,"AASGR419"
"3",8,"ASGRD520"
"4",9,"ABO357"
"5",10,"ABOLT375"
"6",11,"ABQAQ376"
"7",12,"AABKH317"
"8",13,"AABKH354"
"9",14,"ABU376"
"10",15,"ABHDR344"
"11",16,"ABGBR379"
"12",17,"AWB222"
"13",18,"AWB228"
"14",19,"AWB209"
"15",20,"ACSWB228"
"16",21,"ADAR301"
"17",22,"AGAR168"
"18",23,"AGBAMI473"
"19",24,"AGBAM483"
"20",25,"ABGAM472"
"21",26,"AGBMI474"
"22",27,"AGBMI478"
"23",28,"AGBAM479"
"24",29,"AGBAM457"
"25",30,"AGBAM472"
"26",31,"AGBAM458"
"27",32,"AHSPR204"
"28",33,"AIRLE432"
"29",34,"AKPOB452"
"30",35,"AKPO452"
"31",36,"AKPO456"
"32",37,"AKPO462"
"33",38,"AKSAI443"
"34",39,"AKTOB416"
"35",40,"ALJRF300"
"36",41,"ALJRF305"
"37",42,"ALRYN248"
"38",43,"ALRAY293"
"39",44,"ALSHA280"
"40",45,"ALSHA287"
"41",46,"ALSHA302"
"42",47,"ALS290BP"
"43",48,"ALSHA265"
"44",49,"ALSHN298"
"45",50,"ASHSRC284"
"46",51,"WAFA496"
"47",52,"ALBMC489"
"48",53,"ALAMA186"
"49",54,"ANSLP266"
"50",55,"ANSPL310"
"51",56,"ANSPL314"
"52",57,"ANSPL297"
"53",58,"ANSPL302"
"54",59,"ANSLO298"
"55",60,"ANSMX290"
"56",61,"ANSPL279"
"57",62,"ANSPL262"
"58",63,"ANSPL276"
"59",64,"ANSPL286"
"60",65,"ANSPL290"
"61",66,"ANSLO330"
"62",67,"ANS315"
"63",68,"ANSPL307R"
"64",69,"ANSPL321"
"65",70,"ANS319C"
"66",134,"ANTAN287"
"67",139,"ANTAN246"
"68",140,"ANTECR352"
"69",141,"ANTON288"
"70",142,"APIAY233"
"71",143,"ARXLT381"
"72",144,"AXLSRC401"
"73",145,"ARXLT396"
"74",146,"ARBHV273"
"75",147,"ARAHV277"
"76",148,"ARBH278S"
"77",149,"ARBLRSH332"
"78",150,"ARBLT332"
"79",151,"ALTP175C"
"80",152,"ARLTP170"
