"","PropertyID","ShortCalCode","LongCalCode","description","Sort"
"1",1,"ANIL","ANILINE","Aniline-Point",127
"2",2,"AROM","AROMATICS","Aromatics-Vol",94
"3",3,"FRZ ","FREEZE","Freeze-Point",119
"4",4,"API ","GRAVITY","API-Gravity",7
"5",5,"NAPH","NAPHTHENES","Naphthenes-Vol",93
"6",6,"N2  ","NITROGEN","Nitrogen",15
"7",7,"PARA","PARAFFINS","Paraffins-(Total)-Vol",90
"8",8,"POUR","POUR","Pour-Point",122
"9",9,"SMOK","SMOKE","Smoke-Point-(ASTM)",126
"10",10,"SUL ","SULFUR","Sulfur",13
"11",11,"V122","VIS122","Viscosity-@122-F-(-50-C)",142
"12",12,"V212","VIS212","Viscosity-@212-F-(100-C)",149
"13",13,"VOL ","YIELD","Cut-Yield-(Vol%)",3
"14",14,"T10 ",NA,"VL%-TBP---10%",21
"15",15,"T50 ",NA,"VL%-TBP---50%",24
"16",16,"T90 ",NA,"VL%-TBP---90%",27
"17",17,"CI  ","CETANE I","Cetane-Index",129
"18",18,"RAMS","RAMSBOTTOM C","Ramsbottom-Carbon",157
"19",19,"ASPH","ASPHALTENES","Asphaltenes",96
"20",20,"SINA","S IN ASPH","Sulfur-in-Asphaltenes",160
"21",21,"SG  ","SG","Specific-Gravity-(@60F)",8
"22",22,"RONC","OCTF-1","Research-Octane-clear",71
"23",23,"RONL","OCTF-1-PB","RON-@.xx-g-PB/L-(no-SULF)",72
"24",24,"CET ","CETANE N","Cetane-Number",70
"25",25,"MONC","OCTF-2","Motor-Octane-clear",76
"26",26,"MONL","OCTF-2-PB","MON-@.xx-g-PB/L-(no-SULF)",77
"27",27,"CFPP","CFPP","Cold-Filter-Plugging-Point",123
"28",28,"MERC","MERCAPTAN S","Mercaptan-Sulfur",14
"29",29,"NEUT","NEUT","Neut-or-TAN-No.",128
"30",30,"FE  ","FE","Iron",166
"31",31,"V   ","V","Vanadium",167
"32",32,"NI  ","NI","Nickel",168
"33",33,"KFAC","K FACTOR","K-Factor",10
"34",34,"DI  ","DIESEL I","Diesel-Index",131
"35",35,"SYLV",NA,"Cut-Start-Yield-(Vol%)",1
"36",36,"EYLV",NA,"Cut-End-Yield-(Vol%)",2
"37",37,"HHV ","GROSS HT VAL","Gross-Heating-Value",114
"38",38,"RVP ","RVP","Reid-Vapor-Pressure",81
"39",39,"TIP ",NA,"VL%-TBP---Initial-Boiling-Pt",19
"40",40,"T30 ",NA,"VL%-TBP---30%",23
"41",41,"T70 ",NA,"VL%-TBP---70%",25
"42",42,"TEP ",NA,"VL%-TBP---End-Boiling-Pt",29
"43",43,"CLD ","CLOUD PT","Cloud-Point",120
"44",44,"THPH","THIOPHENES","Thiophenes",87
"45",45,"LUM ","LUMINOMETER","Luminometer-Number",83
"46",46,"T05 ",NA,"VL%-TBP---5%",20
"47",47,"T95 ",NA,"VL%-TBP---95%",28
"48",48,"N2B ","BASIC N2","Basic-Nitrogen",16
"49",49,"H2  ","HYDROGEN","Hydrogen",17
"50",50,"PEN","PENETRATION","Penetration",125
"51",51,"SINR","S IN RAMS C","Sulfur-in-Ramsbottom-Carbon",161
"52",52,"V275","VIS275","Viscosity-@275-F-(135-C)",150
"53",53,"RI80","REFRACTIVE I","Refractive-Index-@-80deg-C",136
"54",54,"WT  ",NA,"Cut-Yield-(Wgt%)",6
"55",55,"SYWT",NA,"Cut-Start-Yield-(Wgt%)",4
"56",56,"EYWT",NA,"Cut-End-Yield-(Wgt%)",5
"57",57,"CCR ","CONRADSON C","Conradson-Carbon",158
